Month,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60
Jan-49,8372
Feb-49,8299
Mar-49,8535
Apr-49,8598
May-49,8566
Jun-49,8527
Jul-49,8544
Aug-49,8530
Sep-49,8573
Oct-49,8566
Nov-49,8481
Dec-49,8530
Jan-50,8533
Feb-50,8438
Mar-50,8460
Apr-50,8582
May-50,8564
Jun-50,8577
Jul-50,8919
Aug-50,9439
Sep-50,10288
Oct-50,11309
Nov-50,12379
Dec-50,13491
Jan-51,14678
Feb-51,15701
Mar-51,16617
Apr-51,17478
May-51,18105
Jun-51,18607
Jul-51,19106
Aug-51,19440
Sep-51,19890
Oct-51,19970
Nov-51,20372
Dec-51,20570
Jan-52,20550
Feb-52,20817
Mar-52,21010
Apr-52,21048
,
International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60,
